Mesh_UI	Mesh_eng	Mesh_swe
D004679	Encephalomyelitis	Hjärn- och ryggmärgsinflammation
D004680	Maus Elberfeld virus	Maus Elberfeldvirus
D004681	Encephalomyelitis, Autoimmune, Experimental	Encefalomyelit, autoimmun, experimentell
D004682	Encephalomyelitis, Enzootic Porcine	Svinencefalomyelit, enzootisk
D004683	Encephalomyelitis, Equine	Hästencefalomyelit
D004684	Leukoencephalitis, Acute Hemorrhagic	Leukoencefalit, akut hemorragisk
D004685	Encephalomyelitis, Venezuelan Equine	Hästencefalomyelit, venezuelansk
D004686	Encephalomyocarditis virus	Encefalomyokarditvirus
D004687	Enchondromatosis	Enkondromatos
D004688	Encopresis	Tarmtömning, ofrivillig
D004690	Encyclopedias	Encyklopedier
D004691	Endarterectomy	Endarterektomi
D004692	Endarteritis	Endarterit
D004693	Glucan Endo-1,3-beta-D-Glucosidase	Glukan endo-1,3-beta-D-glukosidas
D004694	Endocardial Cushion Defects	Endokardiell cushion-defekt
D004695	Endocardial Fibroelastosis	Endokardiell fibroelastos
D004696	Endocarditis	Endokardit
D004697	Endocarditis, Bacterial	Endokardit, bakteriell
D004698	Endocarditis, Subacute Bacterial	Endokardit, subakut bakteriell
D004699	Endocardium	Hjärtats innerhinna
D004700	Endocrine System Diseases	Hormonsjukdomar
D004701	Endocrine Gland Neoplasms	Hormonkörteltumörer
D004702	Endocrine Glands	Endokrina körtlar
D004703	Endocrine System	Endokrina systemet
D004704	Endocrinology	Endokrinologi
D004705	Endocytosis	Endocytos
D004706	Endodeoxyribonucleases	Endodeoxiribonukleaser
D004707	Endoderm	Endoderm
D004708	Endodontics	Endodonti
D004709	Endolimax	Endolimax
D004710	Endolymph	Labyrintvätska
D004711	Endolymphatic Duct	Labyrintvätskegång
D004712	Endolymphatic Sac	Labyrintvätskesäck
D004713	Endolymphatic Shunt	Endolymfatisk shunt
D004714	Endometrial Hyperplasia	Endometriehyperplasi
D004715	Endometriosis	Endometrios
D004716	Endometritis	Livmoderslemhinneinflammation
D004717	Endometrium	Livmoderslemhinna
D004718	Saccharomycetales	Saccharomycetales
D004719	Endomyocardial Fibrosis	Endomyokardiell fibros
D004720	Endonucleases	Endonukleaser
D004721	Endoplasmic Reticulum	Endoplasmatiskt nätverk
D004722	Endoribonucleases	Endoribonukleaser
D004723	Endorphins	Endorfiner
D004724	Endoscopy	Endoskopi
D004725	Endospore-Forming Bacteria	Sporbildande bakterier
D004726	Endosulfan	Endosulfan
D004727	Endothelium	Endotel
D004728	Endothelium, Corneal	Hornhinneendotel
D004729	Endothelium, Lymphatic	Endotel, lymfatiskt
D004730	Endothelium, Vascular	Kärlendotel
D004731	Endotoxins	Endotoxiner
D004732	Endrin	Endrin
D004733	Enema	Lavemang
D004734	Energy Metabolism	Energiomsättning
D004735	Energy Transfer	Energiöverföring
D004736	Energy-Generating Resources	Naturliga energikällor
D004737	Enflurane	Enfluran
D004738	Engineering	Ingenjörskonst
D004739	England	England
D004740	English Abstract	Engelsk sammanfattning
D004741	Engraving and Engravings	Gravyr och ingraveringar
D004742	Enhancer Elements (Genetics)	Förstärkare (Genetik)
D004743	Enkephalin, Leucine	Enkefalin, leucin
D004744	Enkephalin, Methionine	Enkefalin, metionin
D004745	Enkephalins	Enkefaliner
D004746	Enoyl-CoA Hydratase	Enoyl-CoA-hydratas
D004747	Entamoeba	Entamoeba
D004748	Entamoeba histolytica	Entamoeba histolytica
D004749	Entamoebiasis	Entamoebiasis
D004750	Enteral Nutrition	Sondmatning
D004751	Enteritis	Tarmkatarr
D004752	Coronavirus, Turkey	Coronavirus hos kalkon
D004753	Enteritis, Transmissible, of Turkeys	Smittsam kalkonenterit
D004754	Enterobacter	Enterobacter
D004755	Enterobacteriaceae	Enterobacteriaceae
D004756	Enterobacteriaceae Infections	Enterobacteriaceaeinfektioner
D004757	Enterobius	Springmask
D004758	Enterobactin	Enterobaktin
D004759	Enterochromaffin Cells	Enterokromaffinceller
D004760	Enterocolitis	Tunn- och tjocktarmsinflammation
D004761	Enterocolitis, Pseudomembranous	Enterokolit, pseudomembranös
D004763	Glucagon-Like Peptides	Glukagonliknande peptider
D004764	Enterohepatic Circulation	Tarm-leverkretsloppet
D004765	Enteropeptidase	Enteropeptidas
D004766	Enterostomy	Enterostomi
D004767	Enterotoxemia	Enterotoxemi
D004768	Enterotoxins	Enterotoxiner
D004769	Enterovirus Infections	Enterovirusinfektioner
D004770	Enterovirus	Enterovirus
D004771	Enteroviruses, Porcine	Svinenterovirus
D004772	Entomology	Entomologi
D004773	Entomophthora	Entomophthora
D004774	Entropion	Inåtvikning av ögonlock
D004775	Enuresis	Enures
D004776	Enviomycin	Enviomycin
D004777	Environment	Miljö
D004778	Environment and Public Health	Miljö och folkhälsa
D004779	Environment Design	Miljöplanering
D004780	Environment, Controlled	Kontrollerad miljö
D004781	Environmental Exposure	Miljöexponering
D004782	Environmental Health	Miljövård
D004783	Environmental Microbiology	Miljömikrobiologi
D004784	Environmental Monitoring	Miljöövervakning
D004785	Environmental Pollutants	Miljöförorenande medel
D004786	Toxic Actions	Toxisk verkan
D004787	Environmental Pollution	Miljöförorening
D004789	Enzyme Activation	Enzymaktivering
D004790	Enzyme Induction	Enzyminduktion
D004791	Enzyme Inhibitors	Enzymhämmare
D004792	Enzyme Precursors	Enzymprekursorer
D004793	Enzyme Reactivators	Enzymreaktivatorer
D004794	Enzyme Repression	Enzymrepression
D004795	Enzyme Stability	Enzymstabilitet
D004796	Enzyme Tests	Enzymtester
D004797	Enzyme-Linked Immunosorbent Assay	Enzymkopplad immunadsorberande analys
D004798	Enzymes	Enzymer
D004800	Enzymes, Immobilized	Immobiliserade enzymer
D004801	Eosine Yellowish-(YS)	Eosin Y
D004802	Eosinophilia	Eosinofili
D004803	Eosinophilic Granuloma	Eosinofilt granulom
D004804	Eosinophils	Eosinofila leukocyter
D004805	Ependyma	Ependym
D004806	Ependymoma	Ependymom
D004809	Ephedrine	Efedrin
D004810	Ephemeral Fever	Efemeralfeber
D004811	Epichlorohydrin	Epiklorhydrin
D004812	Epidemiologic Methods	Epidemiologiska metoder
D004813	Epidemiology	Epidemiologi
D004814	Epidermal Cyst	Epidermoidcysta
D004815	Epidermal Growth Factor	Epidermal tillväxtfaktor
D004816	Epidermal Necrolysis, Toxic	Epidermal nekrolys, toxisk
D004817	Epidermis	Överhud
D004818	Epidermitis, Exudative, of Swine	Exudativ dermatit hos svin
D004819	Epidermodysplasia Verruciformis	Epidermal dysplasi, verruciform
D004820	Epidermolysis Bullosa	Epidermolysis bullosa
D004821	Epidermophyton	Epidermophyton
D004822	Epididymis	Bitestikel
D004823	Epididymitis	Bitestikelinflammation
D004824	Epidural Space	Epiduralrum
D004825	Epiglottis	Struplock
D004826	Epiglottitis	Struplocksinflammation
D004827	Epilepsy	Epilepsi
D004828	Epilepsies, Partial	Epilepsi, partiell
D004829	Epilepsy, Generalized	Epilepsi, generaliserad
D004830	Epilepsy, Tonic-Clonic	Epilepsi, tonisk-klonisk
D004831	Epilepsies, Myoclonic	Epilepsi, myoklon
D004832	Epilepsy, Absence	Absensepilepsi
D004833	Epilepsy, Temporal Lobe	Temporallobsepilepsi
D004834	Epilepsy, Post-Traumatic	Epilepsi, posttraumatisk
D004836	Epimestrol	Epimestrol
D004837	Epinephrine	Adrenalin
D004838	Epiphyses	Epifyser
D004839	Epiphyses, Slipped	Epifysglidning
D004840	Epirizole	Epirizol
D004841	Episiotomy	Episiotomi
D004842	Epispadias	Epispadi
D004843	Epistasis, Genetic	Epistasi
D004844	Epistaxis	Näsblödning
D004845	Epitestosterone	Epitestosteron
D004846	Epithelial Attachment	Epitelfäste
D004847	Epithelial Cells	Epitelceller
D004848	Epithelium	Epitel
D004849	Phenylphosphonothioic Acid, 2-Ethyl 2-(4-Nitrophenyl) Ester	2-etyl-2-(4-nitrofenyl)fenylfosfonotionat
D004850	Eponyms	Eponymer
D004851	Epoxide Hydrolases	Epoxidhydrolaser
D004852	Epoxy Compounds	Epoxiföreningar
D004853	Epoxy Resins	Epoxihartser
D004854	Herpesvirus 4, Human	Herpesvirus 4, humant
D004855	Equilenin	Ekvilenin
D004856	Musculoskeletal Equilibrium	Postural jämvikt
D004857	Equilin	Ekvilin
D004858	Herpesvirus 3, Equid	Herpesvirus 3 hos häst
D004859	Equine Infectious Anemia	Infektiös anemi hos häst
D004860	Infectious Anemia Virus, Equine	Smittsam hästanemivirus
D004861	Herpesvirus 1, Equid	Herpesvirus 1 hos häst
D004863	Equinus Deformity	Hästfot
D004864	Equipment and Supplies	Utrustning och tillbehör
D004865	Equipment and Supplies, Hospital	Sjukhusutrustning
D004866	Equipment Contamination	Utrustningsförorening
D004867	Equipment Design	Utrustningsdesign
D004868	Equipment Failure	Utrustningsfel
D004869	Equipment Safety	Utrustningssäkerhet
D004870	Erabutoxins	Erabutoxiner
D004871	Erbium	Erbium
D004872	Ergocalciferols	Ergokalciferoler
D004873	Ergolines	Ergoliner
D004874	Ergonovine	Ergonovin
D004875	Ergosterol	Ergosterol
D004876	Ergot Alkaloids	Ergotalkaloider
D004877	Ergoloid Mesylates	Ergoloidmesylater
D004878	Ergotamine	Ergotamin
D004879	Ergotamines	Ergotaminer
D004880	Ergothioneine	Ergotionein
D004881	Ergotism	Ergotaminförgiftning
D004882	Erotica	Erotika
D004883	Erucic Acids	Erukasyror
D004884	Eructation	Rapning
D004885	Erwinia	Erwinia
D004886	Erysipelas	Rosfeber
D004887	Erysipeloid	Erysipeloid
D004888	Erysipelothrix	Erysipelothrix
D004889	Erysipelothrix Infections	Erysipelothrixinfektioner
D004890	Erythema	Hudrodnad
D004891	Erythema Induratum	Erythema induratum
D004892	Erythema Multiforme	Erythema multiforme
D004893	Erythema Nodosum	Knölros
D004894	Erythrasma	Erytrasma
D004895	Erythrina	Erythrina
D004896	Erythritol	Erytritol
D004897	Erythrityl Tetranitrate	Erytrityltetranitrat
D004899	Erythroblastosis, Fetal	Hemolytisk sjukdom hos nyfödda
D004900	Erythroblasts	Erytroblaster
D004901	Erythrocebus patas	Erythrocebus patas
D004902	Erythrocruorins	Erytrokruoriner
D004903	Erythrocyte Aggregation	Erytrocytaggregation
D004905	Erythrocyte Aging	Erytrocytåldrande
D004906	Erythrocyte Count	Erytrocytantal
D004907	Erythrocyte Deformability	Erytrocytdeformerbarhet
D004908	Erythrocyte Inclusions	Erytrocytinklusioner
D004909	Erythrocyte Indices	Erytrocytindex
D004910	Erythrocyte Membrane	Erytrocytmembran
D004911	Erythrocyte Volume	Erytrocytvolym
D004912	Erythrocytes	Röda blodkroppar
D004913	Erythrocytes, Abnormal	Erytrocyter, abnorma
D004915	Leukemia, Erythroblastic, Acute	Leukemi, erytroblastisk, akut
D004916	Erythromelalgia	Erytromelalgi
D004917	Erythromycin	Erytromycin
D004918	Erythromycin Estolate	Erytromycinestolat
D004919	Erythroplasia	Erytroplasi
D004920	Erythropoiesis	Erytropoes
D004921	Erythropoietin	Erytropoietin
D004923	Erythrosine	Erytrosin
D004924	Escape Reaction	Flyktreaktion
D004925	Escherichia	Escherichia
D004926	Escherichia coli	Kolibakterie
D004927	Escherichia coli Infections	Kolibakterieinfektioner
D004928	Escin	Escin
D004929	Esculin	Eskulin
D004930	Inuits	Inuiter
D004931	Esophageal Achalasia	Esofagusakalasi
D004932	Esophageal and Gastric Varices	Åderbråck i matstrupen
D004933	Esophageal Atresia	Esofagusatresi
D004934	Esophageal Cyst	Esofaguscysta
D004935	Esophageal Diseases	Matstrupssjukdomar
D004936	Diverticulum, Esophageal	Esofagusdivertikel
D004937	Esophageal Fistula	Esofagusfistel
D004938	Esophageal Neoplasms	Matstrupstumörer
D004939	Esophageal Perforation	Esofagusperforation
D004940	Esophageal Stenosis	Matstrupsförträngning
D004941	Esophagitis	Matstrupsinflammation
D004942	Esophagitis, Peptic	Refluxesofagit
D004943	Esophagogastric Junction	Esofagogastrisk förbindelse
D004944	Esophagoplasty	Esofagoplastik
D004945	Esophagoscopy	Esofagoskopi
D004946	Esophagostomy	Esofagostomi
D004947	Esophagus	Matstrupe
D004948	Esotropia	Inåtskelning
D004949	Estazolam	Estazolam
D004950	Esterases	Esteraser
D004951	Esterification	Förestring
D004952	Esters	Estrar
D004953	Estetrol	Estetrol
D004954	Esthetics	Estetik
D004955	Esthetics, Dental	Dentalestetik
D004956	Estivation	Sommardvala
D004957	Estonia	Estland
D004958	Estradiol	Östradiol
D004959	Estradiol Antagonists	Östradiolblockerare
D004960	Estradiol Dehydrogenases	Östradioldehydrogenaser
D004961	Estramustine	Estramustin
D004962	Estranes	Estraner
D004963	Estrenes	Estrener
D004964	Estriol	Östriol
D004965	Estrogen Antagonists	Östrogenblockerare
D004966	Estrogens, Conjugated (USP)	Östrogenkonjugat (USP)
D004967	Estrogens	Östrogener
D004968	Estrogens, Non-Steroidal	Östrogener, icke-steroida
D004970	Estrone	Östron
D004971	Estrus	Östrus
D004972	Estrus Detection	Brunstkontroll
D004973	Estrus Synchronization	Brunstsynkronisering
D004974	Etazolate	Etazolat
D004975	Ethacridine	Etakridin
D004976	Ethacrynic Acid	Etakrynsyra
D004977	Ethambutol	Etambutol
D004978	Ethamoxytriphetol	Etamoxitrifetol
D004979	Ethamsylate	Etamsylat
D004980	Ethane	Etan
D004981	Ethanolamine Ammonia-Lyase	Etanolamin-ammoniaklyas
D004982	Ethanolaminephosphotransferase	Etanolaminfosfotransferas
D004983	Ethanolamines	Etanolaminer
D004984	Ethchlorvynol	Etklorvynol
D004985	Ethenoadenosine Triphosphate	Etenadenosintrifosfat
D004986	Ether, Ethyl	Etyleter
D004987	Ethers	Etrar
D004988	Ethers, Cyclic	Etrar, cykliska
D004989	Ethics	Etik
D004990	Ethics, Dental	Tandvårdsetik
D004991	Ethics, Institutional	Institutionsetik
D004992	Ethics, Medical	Medicinsk etik
D004993	Ethics, Nursing	Vårdetik
D004994	Ethics, Pharmacy	Läkemedelsetik
D004995	Ethics, Professional	Yrkesetik
D004996	Ethidium	Etidium
D004997	Ethinyl Estradiol	Etinylöstradiol
D004998	Ethiodized Oil	Etyljoderad olja
D004999	Amifostine	Amifostin
D005000	Ethionamide	Etionamid
D005001	Ethionine	Etionin
D005002	Ethiopia	Etiopien
D005003	Ethisterone	Etisteron
D005004	Ethmoid Bone	Silben
D005005	Ethmoid Sinus	Etmoidalsinus
D005006	Ethnic Groups	Etniska grupper
D005007	Ethnology	Etnologi
D005008	Ethnopsychology	Etnopsykologi
D005009	Ethoglucid	Etoglucid
D005010	Ethology	Etologi
D005011	Ethopabate	Etopabat
D005013	Ethosuximide	Etosuximid
D005015	Ethoxyquin	Etoxikin
D005016	Ethoxzolamide	Etoxzolamid
D005017	Ethyl Biscoumacetate	Etylbiskumacetat
D005018	Ethyl Chloride	Etylklorid
D005019	Ethyl Ethers	Etyletrar
D005020	Ethyl Methanesulfonate	Etylmetansulfonat
D005021	Ethylamines	Etylaminer
D005022	Ethyldimethylaminopropyl Carbodiimide	Etyldimetylaminopropylkarbodiimid
D005023	Ethylene Chlorohydrin	Etylenklorhydrin
D005025	Ethylene Dichlorides	Etylendiklorider
D005026	Ethylene Glycols	Etylenglykoler
D005027	Ethylene Oxide	Etylenoxid
D005028	Ethylenebis(dithiocarbamates)	Etylenbis(ditiokarbamater)
D005029	Ethylenediamines	Etylendiaminer
D005030	Ethylenes	Etylener
D005031	Ethylenethiourea	Etylentiourea
D005032	Ethylestrenol	Etylestrenol
D005033	Ethylmaleimide	Etylmaleimid
D005034	Ethylmercuric Chloride	Etylkvicksilverklorid
D005035	Ethylmercury Compounds	Etylkvicksilverföreningar
D005036	Ethylmorphine	Etylmorfin
D005037	Ethylmorphine-N-Demethylase	Etylmorfin-N-demetylas
D005038	Ethylnitrosourea	Etylnitrosurea
D005039	Etilefrine	Etilefrin
D005040	Ethynodiol Diacetate	Etynodioldiacetat
D005041	Etidocaine	Etidokain
D005042	Etimizol	Etimizol
D005043	Etiocholanolone	Etiokolanolon
D005044	Etioporphyrins	Etioporfyriner
D005045	Etomidate	Etomidat
D005047	Etoposide	Etoposid
D005048	Etorphine	Etorfin
D005050	Etretinate	Etretinat
D005051	Eubacterium	Eubacterium
D005052	Eucalyptus	Eukalyptus
D005053	Eugenics	Rashygien
D005054	Eugenol	Eugenol
D005055	Euglena	Euglena
D005056	Euglena gracilis	Euglena gracilis
D005057	Eukaryotic Cells	Eukaryota celler
D005058	Eunuchism	Eunuckism
D005059	Euphoria	Eufori
D005060	Europe	Europa
D005061	Europe, Eastern	Östeuropa
D005062	European Union	Europeiska unionen
D005063	Europium	Europium
D005064	Eustachian Tube	Örontrumpet
D005065	Euthanasia	Dödshjälp
D005066	Euthanasia, Passive	Dödshjälp, passiv
D005067	Euthyroid Sick Syndromes	Euthyroid-sick syndromes
D005068	Eutrophication	Övergödning
D005069	Evaluation Studies	Utvärderingsstudier
D005070	Evans Blue	Evans Blue
D005071	Evoked Potentials	Elektriska retningspotentialer
D005072	Evoked Potentials, Auditory	Elektriska retningspotentialer, auditiva
D005073	Evoked Potentials, Somatosensory	Elektriska retningspotentialer, somatosensoriska
D005074	Evoked Potentials, Visual	Elektriska retningspotentialer, visuella
D005075	Evolution	Evolution
D005076	Exanthema	Hudutslag
D005077	Exanthema Subitum	Tredagarsfeber
D005078	Exchange Transfusion, Whole Blood	Utbytestransfusion, helblod
D005079	Excipients	Hjälpämnen
D005080	Exercise Test	Arbetsprov
D005081	Exercise Therapy	Motionsterapi
D005082	Exertion	Energiförbrukning
D005083	Exfoliatins	Exfoliatiner
D005084	Exhibitionism	Exhibitionism
D005085	Exhibits	Utställningar
D005086	Existentialism	Existentialism
D005087	Glucan 1,4-alpha-Glucosidase	Glukan 1,4-alfaglukosidas
D005088	Exocrine Glands	Exokrina körtlar
D005089	Exocytosis	Exocytos
D005090	Exodeoxyribonucleases	Exodeoxiribonukleaser
D005091	Exons	Exoner
D005092	Exonucleases	Exonukleaser
D005093	Exophiala	Exophiala
D005094	Exophthalmos	Glosögdhet
D005095	Exoribonucleases	Exoribonukleaser
D005096	Exostoses	Benutväxter
D005097	Exostoses, Multiple Hereditary	Exostoser, multipla ärftliga
D005098	Exotoxins	Exotoxiner
D005099	Exotropia	Utåtskelning
D005100	Expectorants	Slemlösande medel
D005101	Expeditions	Upptäcktsfärder
D005102	Health Expenditures	Hälso- och sjukvårdsutgifter
D005103	Expert Systems	Expertsystem
D005104	Expert Testimony	Sakkunnigutlåtande
D005105	Expiratory Reserve Volume	Utandningsreservvolym
D005106	Exploratory Behavior	Utforskande beteende
D005107	Explosions	Sprängningar
D005108	Extinction, Psychological	Avbetingning, psykologisk
D005109	Extracellular Matrix	Extracellulär matrix
D005110	Extracellular Space	Extracellulärt rum
D005111	Extrachromosomal Inheritance	Extrakromosomal nedärvning
D005112	Extracorporeal Circulation	Extrakorporeal cirkulation
D005113	Extraction, Obstetrical	Extraktion, obstetrisk
D005114	Extramarital Relations	Utomäktenskapliga relationer
D005115	Extraoral Traction Appliances	Extraorala draganordningar
D005116	Extrapyramidal Tracts	Extrapyramidala systemet
D005117	Cardiac Complexes, Premature	Prematurslag
D005118	Extraterrestrial Environment	Rymdmiljö
D005119	Extravasation of Diagnostic and Therapeutic Materials	Läckage av diagnostiska och terapeutiska medel
D005120	Extraversion (Psychology)	Utåtvändhet (Psykologi)
D005121	Extremities	Extremiteter
D005122	Exudates and Transudates	Exsudat och transsudat
D005123	Eye	Öga
D005124	Eye Abnormalities	Ögonmissbildningar
D005125	Eye Banks	Ögonbanker
D005126	Eye Burns	Brännskador i ögonen
D005127	Eye Color	Ögonfärg
D005128	Eye Diseases	Ögonsjukdomar
D005129	Eye Foreign Bodies	Främmande kroppar i ögat
D005130	Eye Hemorrhage	Ögonblödning
D005131	Eye Injuries	Ögonskador
D005132	Eye Manifestations	Ögonmanifestationer
D005133	Eye Movements	Ögonrörelser
D005134	Eye Neoplasms	Ögontumörer
D005135	Eye Protective Devices	Ögonskydd
D005136	Eye Proteins	Ögonproteiner
D005137	Eye, Artificial	Ögonproteser
D005138	Eyebrows	Ögonbryn
D005139	Eyeglasses	Glasögon
D005140	Eyelashes	Ögonfransar
D005141	Eyelid Diseases	Ögonlockssjukdomar
D005142	Eyelid Neoplasms	Ögonlockstumörer
D005143	Eyelids	Ögonlock
D005144	F Factor	F-faktor
D005145	Face	Ansikte
D005146	Facial Asymmetry	Ansiktsasymmetri
D005147	Facial Bones	Ansiktsben
D005148	Facial Dermatoses	Ansiktsdermatoser
D005149	Facial Expression	Ansiktsuttryck
D005150	Facial Hemiatrophy	Ansiktsförtvining, halvsidig
D005151	Facial Injuries	Ansiktsskador
D005152	Facial Muscles	Ansiktsmuskler
D005153	Facial Neoplasms	Ansiktstumörer
D005154	Facial Nerve	Ansiktsnerv
D005155	Facial Nerve Diseases	Ansiktsnervssjukdomar
D005156	Facial Neuralgia	Ansiktsneuralgi
D005157	Facial Pain	Ansiktssmärta
D005158	Facial Paralysis	Ansiktsförlamning
D005159	Health Care Facilities, Manpower, and Services	Hälso- och sjukvårdsinrättningar, arbetskraft och tjänster
D005160	Facility Design and Construction	Byggnadskonstruktion
D005161	Facility Regulation and Control	Byggnadsbesiktning och kontroll
D005162	Factitious Disorders	Simulerade sjukdomar
D005163	Factor Analysis, Statistical	Faktoranalys, statistisk
D005164	Factor IX	Faktor IX
D005165	Factor V	Faktor V
D005166	Factor V Deficiency	Faktor V-brist
D005167	Factor VII	Faktor VII
D005168	Factor VII Deficiency	Faktor VII-brist
D005169	Factor VIII	Faktor VIII
D005170	Factor X	Faktor X
D005171	Factor X Deficiency	Faktor X-brist
D005172	Factor XI	Faktor XI
D005173	Factor XI Deficiency	Faktor XI-brist
D005174	Factor XII	Faktor XII
D005175	Factor XII Deficiency	Faktor XII-brist
D005176	Factor XIII	Faktor XIII
D005177	Factor XIII Deficiency	Faktor XIII-brist
D005178	Faculty	Fakultet
D005179	Faculty, Dental	Fakultet, odontologisk
D005180	Faculty, Medical	Fakultet, medicinsk
D005181	Faculty, Nursing	Omvårdnadsfakultet
D005182	Flavin-Adenine Dinucleotide	Flavin-adenindinukleotid
D005183	Failure to Thrive	Tillväxthämning
D005184	Fallopian Tube Diseases	Äggledarsjukdomar
D005185	Fallopian Tube Neoplasms	Äggledartumörer
D005186	Fallopian Tube Patency Tests	Äggledaröppenhetstest
D005187	Fallopian Tubes	Äggledare
D005188	False Negative Reactions	Falskt negativa reaktioner
D005189	False Positive Reactions	Falskt positiva reaktioner
D005190	Family	Familj
D005191	Family Characteristics	Familjekarakteristika
D005192	Family Health	Familjens hälsa
D005193	Family Planning Services	Familjeplanering
D005194	Family Practice	Allmänmedicin
D005195	Family Relations	Familjerelationer
D005196	Family Therapy	Familjeterapi
D005197	Famous Persons	Berömda personer
D005198	Fanconi Syndrome	Fanconis syndrom
D005199	Fanconi Anemia	Fanconis anemi
D005200	FANFT	FANFT
D005201	Fantasy	Fantasi
D005202	Far East	Fjärran Östern
D005203	Farmer's Lung	Tröskdammlunga
D005204	Farnesol	Farnesol
D005205	Fascia	Bindvävshinna
D005206	Fascia Lata	Fascia lata
D005207	Fasciculation	Fascikulation
D005208	Fasciitis	Bindvävshinneinflammation
D005209	Fasciola	Fasciola
D005210	Fasciola hepatica	Fasciola hepatica
D005211	Fascioliasis	Fascioliasis
D005212	Fasciolidae	Fasciolidae
D005213	Fascioloidiasis	Fascioloidiasis
D005214	Fast Neutrons	Snabba neutroner
D005215	Fasting	Fasta
D005216	Fat Body	Fettkropp
D005217	Fat Emulsions, Intravenous	Fettemulsioner, intravenösa
D005218	Fat Necrosis	Fettnekros
D005219	Father-Child Relations	Far-barnrelationer
D005220	Fathers	Fäder
D005221	Fatigue	Trötthet
D005222	Mental Fatigue	Psykisk utmattning
D005223	Fats	Matfetter
D005224	Fats, Unsaturated	Fetter, omättade
D005226	Fatty Acid Synthetase Complex	Fettsyrasyntetaskomplex
D005227	Fatty Acids	Fettsyror
D005228	Fatty Acids, Essential	Fettsyror, essentiella
D005229	Fatty Acids, Monounsaturated	Fettsyror, enkelomättade
D005230	Fatty Acids, Nonesterified	Fettsyror, fria
D005231	Fatty Acids, Unsaturated	Fettsyror, omättade
D005232	Fatty Acids, Volatile	Fettsyror, flyktiga
D005233	Fatty Alcohols	Fettalkoholer
D005234	Fatty Liver	Fettlever
D005235	Fatty Liver, Alcoholic	Fettlever, alkolbetingad
D005236	Favism	Favism
D005239	Fear	Fruktan
D005240	Feasibility Studies	Genomförbarhetsstudier
D005241	Feathers	Fjädrar
D005242	Fecal Incontinence	Avföringsinkontinens
D005243	Feces	Avföring
D005244	Fecal Impaction	Fekal klumpbildning
D005245	Fee Schedules	Avgiftstaxor
D005246	Feedback	Återkoppling
D005247	Feeding Behavior	Ätbeteende
D005248	Feeding Methods	Matningsmetoder
D005249	Fees and Charges	Arvoden och avgifter
D005250	Fees, Dental	Tandvårdsavgifter
D005251	Fees, Medical	Patientavgifter
D005252	Fees, Pharmaceutical	Läkemedelsavgifter
D005253	Sarcoma Viruses, Feline	Kattsarkomvirus
D005254	Feline Panleukopenia	Kattpest
D005256	Leukemia Virus, Feline	Kattleukemivirus
D005257	Fellowships and Scholarships	Stipendier
D005258	Felty's Syndrome	Feltys syndrom
D005259	Felypressin	Felypressin
D005260	Female	Kvinnlig
D005261	Female Urogenital Diseases and Pregnancy Complications	Kvinnosjukdomar och graviditetskomplikationer
D005262	Feminization	Feminisering
D005263	Femoral Artery	Lårbensartär
D005264	Femoral Fractures	Lårbensfrakturer
D005265	Femoral Neck Fractures	Lårbenshalsfrakturer
D005266	Femoral Neoplasms	Lårbenstumörer
D005267	Femoral Nerve	Lårbensnerv
D005268	Femoral Vein	Lårbensven
D005269	Femur	Lårben
D005270	Femur Head	Lårbenshuvud
D005271	Femur Head Necrosis	Lårbenshuvudnekros
D005272	Femur Neck	Lårbenshals
D005273	Fenbendazole	Fenbendazol
D005275	Fendiline	Fendilin
D005276	Fenestration, Labyrinth	Fönsteroperation
D005277	Fenfluramine	Fenfluramin
D005278	Fenitrothion	Fenitrotion
D005279	Fenoprofen	Fenoprofen
D005280	Fenoterol	Fenoterol
D005283	Fentanyl	Fentanyl
D005284	Fenthion	Fention
D005285	Fermentation	Jäsning
D005286	Fermium	Fermium
D005287	Ferredoxin-NADP Reductase	Ferredoxin-NADP-reduktas
D005288	Ferredoxins	Ferredoxiner
D005289	Ferrets	Illrar
D005290	Ferric Compounds	Ferriföreningar
D005291	Ferrichrome	Ferrikrom
D005292	Ferricyanides	Ferricyanider
D005293	Ferritins	Ferritiner
D005294	Ferrochelatase	Ferrokelatas
D005295	Ferrocyanides	Ferrocyanider
D005296	Ferrous Compounds	Ferroföreningar
D005297	Ferrozine	Ferrozin
D005298	Fertility	Fruktsamhet
D005299	Fertility Agents	Fertilitetshöjande medel
D005300	Fertility Agents, Female	Fertilitetsmedel för kvinnor
D005303	Fertility Agents, Male	Fertilitetsmedel för män
D005306	Fertilization	Befruktning
D005307	Fertilization in Vitro	Provrörsbefruktning
D005308	Fertilizers	Konstgödning
D005309	Ferula	Ferula
D005310	Fetal Alcohol Syndrome	Fetalt alkoholsyndrom
D005311	Fetal Hypoxia	Syrebrist hos foster
D005312	Fetal Blood	Fosterblod
D005313	Fetal Death	Fosterdöd
D005314	Embryonic and Fetal Development	Embryo- och fosterutveckling
D005315	Fetal Diseases	Fostrets sjukdomar
D005316	Fetal Distress	Fetal distress
D005317	Fetal Growth Retardation	Hämmad fostertillväxt
D005318	Fetal Heart	Fosterhjärta
D005319	Fetal Hemoglobin	Fosterhemoglobin
D005320	Fetal Macrosomia	Stort foster
D005321	Extraembryonic Membranes	Fosterhinnor
