Synonym	Mesh_UI
Encefalit, fästingburen	D004675
Encefalit, herpes simplex	D020803
Encefalit, japansk	D004672
Encefalit, St. Louis	D004674
Encefalit, varicella zoster	D020804
Encefalit, viral	D018792
Encefalocele	D004677
Encefalomalaci	D004678
Encefalomyelit	D004679
Encefalomyelit, allergisk	D004681
Encephalitis periaxialis	D002549
Endangiitis obliterans	D013919
Endobulin	D016756
Endocarditis lenta	D004698
Endogena opiater	D018847
Endokardium	D004699
Endokrin tuberkulos	D014383
Endokrina celler i mag-tarmkanalen	D019858
Endokrina celler i tarmen	D019858
Endokrina sjukdomar	D004700
Endokrina skelettsjukdomar	D001849
Endokrinkörtelcancer	D004701
Endokrinkörteltumörer	D004701
Endolymfa	D004710
Endometriecancer	D016889
Endometrit	D004716
Endometrium	D004717
Endoplasmatiskt retikel	D004721
Endoskopi, digestionssystem	D016145
Endoskopi, matspjälkninssystem	D016145
Endoskopisk kirurgi	D004724
Endoskopisk retrograd kolangiopankreatografi	D002760
Endoskopisk sfinkterektomi	D016717
Endoskopisk ultraljud	D019160
Endoskopiska kirurgiska tekniker	D004724
Endotel, kornealt	D004728
Endotel, vaskulärt	D004730
Endotelderiverad relaxerande faktor	D009569
Endotoxinchock	D012772
Energimetabolism	D004734
Energiöverföring, lineär	D018499
Enformig rörelsestörning	D019956
Enfotonstomografi	D015899
ENG	D004584
Engelmanns sjukdom	D003966
Engelska svetten	D018614
Engångsmaterial	D004209
Enhancer (Genetik)	D004742
Enheter inom sjukhus	D006748
Enkopres	D004688
Enomättade fettsyror	D005229
Enoxolon	D006034
Enoyl-konzyme A-hydratas	D004746
Ensamläkarmottagning	D011331
Ensilage	D012820
Enteral nutrition	D004750
Enterit	D004751
Enterit, regional	D003424
Enterobiasis	D017229
Enterobius	D004757
Enteroglukagoner	D004763
Enterohepatiska kretsloppet	D004764
Enterokolit	D004760
Enterokutan fistel	D007412
Entorinalkortex	D018728
Entreprenörskap	D016520
Enures	D004775
Enzymimmunanalys	D007124
EOG	D004585
Eosinofil leukemi, akut	D015472
EPA	D015118
Epanutin	D010672
Ependymoblastom	D018242
Eperythrozoon	D009174
Eperythrozoonosis	D009175
Epidemiberedskap	D003140
Epidemier	D004196
Epidemiska sjukdomar	D003141
Epidemiska sjukdomar, galopperande	D021821
Epidermal tillväxtfaktor-urogastron	D004815
Epidermis	D004817
Epididymis	D004822
Epididymit	D004823
Epidural blodinjektion	D017217
Epidurala injektioner	D007268
Epiduralanalgesi	D015360
Epiduralcancer	D015174
Epiduralt hematom, spinalt	D046748
Epifora	D007766
Epifys	D010870
Epifyseolys	D004839
Epifysplatta	D006132
Epiglottis	D004825
Epiglottit	D004826
Epikutantester	D010328
Epilepsi, absens	D004832
Epilepsi, frontallob	D017034
Epilepsi, medel mot	D000927
Epilepsi, temporallob	D004833
Epinefrin	D004837
Episkin	D023422
Epistropheus	D001368
Epitel, korneal	D019573
Epivir	D019259
EPN	D004849
EPO	D004921
Eposin	D005047
Epost	D034742
Eprex	D019321
Eprex	D019322
ER	D004721
Erb-Duchennes paralys	D020516
Erbs paralys	D020516
ERCP	D002760
Erektion	D010410
ERG	D004596
Ergenyl	D014635
Ergotism	D004881
ERPF	D017596
Ersättningsreaktion (Psykologi)	D004208
Eruktation	D004884
Erwinase	D001215
Erwinia carotovora	D016973
Erwinia chrysanthemi	D016974
Erymax	D004917
Ery-Max	D004917
Erytem	D004890
Erythema nodosum	D004893
Erytroblastisk leukemi, akut	D004915
Erytroblastosis fetalis	D004899
Erytrocyter	D004912
Erytrocytvolymfraktion	D006400
Erytropoetin	D004921
Erytropoiesis	D004920
Erytropoietisk protoporfyri	D046351
Erytroödem	D000170
Escherichia coli	D004926
Escherichia coli-infektioner	D004927
Esidrex	D006852
Eskimåer	D004930
Esofagit	D004941
Esofagit, peptisk	D004942
Esofagit, reflux	D004942
Esofagocele	D004936
Esofagus	D004947
Esofagus obstruktion	D004940
Esofaguscancer	D004938
Esofagushernia	D006551
Esofagussjukdomar	D004935
Esofagusstenos	D004940
Esofagustumörer	D004938
Esofagusvaricer	D004932
Esomeprazol	D009853
Esotropi	D004948
ESRD	D007676
Essentiella aminosyror	D000601
Essentiella fettsyror	D005228
Essentiella läkemedel	D018954
Esterifiering	D004951
Estetik, dental	D004955
Estracyt	D004961
Estraderm	D004958
Estradiol	D004958
Estradiol -17-beta	D004958
Estradiolantagonister	D004959
Estradiolblockerare	D004959
Estradioldehydrogenaser	D004960
Estradiolreceptorer	D011959
Estramustinfosfat	D004961
Estriol	D004964
Estrogen, substitutionsbehandling	D015914
Estrogenantagonister	D004965
Estrogenblockerare	D004965
Estrogener	D004967
Estrogener, icke-steroida	D004968
Estrogener, katekol	D002393
Estrogener, syntetiska	D004969
Estrogenreceptor alfa	D047628
Estrogenreceptor beta	D047629
Estrogenreceptorer	D011960
Estrogenreceptormodulatorer	D020847
Estron	D004970
Estrus	D004971
Estruscykel	D030762
ESWL	D008096
Eter, etyl	D004986
Ethyol	D004999
Etidronat	D012968
Etidronatdinatrium	D012968
Etik, dental	D004990
Etik, läkemedel	D004994
Etik, medicinsk	D004992
Etik, omvårdnad	D004993
Etik, professionell	D004995
Etikråd	D017041
Etinylestradiol	D004997
Etisk evaluering	D026724
Etisk prövning	D026724
Etnografi	D000884
Etnomedicinsk hälso- och sjukvård	D006303
Etylendiamintetraacetat	D004492
Etylfenylefrin	D005039
EU	D005062
Eugenik	D005053
Euglucon	D005905
Eulexin	D005485
Euphylong	D013806
Eusaprim	D015662
Eustachiska röret	D005064
Eutanasi	D005065
Eutanasi, aktiv	D028601
Eutanasi, aktiv, frivillig	D033101
Eutanasi, passiv	D005066
Euthyrox	D013974
Evalueringsstudier	D005069
Evertebrater	D007448
EVF	D006400
Evidensbaserad medicin	D019317
Ewings sarkom	D012512
Evisceration av orbita	D017233
Evista	D020849
E-vitamin	D014810
E-vitaminbrist	D014811
Examensångest, skala	D013732
Exantem	D005076
Exanthema subitum	D005077
Exfoliativ dermatit	D003873
Exoftalmus	D005094
Exogen allergisk alveolit	D000542
Exokrin pankreas	D046790
Exostoser	D005096
Exotropi	D005099
Expeditioner	D005101
Expektorantia	D005100
Experimentell cancer	D009374
Experimentell leukemi	D007942
Experimentell psykologi	D011589
Experimentella behandlingar	D035703
Experimentella terapier	D035703
Experimentella tumörer	D009374
Expertutlåtande	D005104
Explosioner	D005107
Explosionsskador	D001753
Expressiv afasi	D001039
Exspiratorisk reservvolym	D005105
Extra hjärtslag	D005117
Extra hjärtslag, atriell	D018880
Extra hjärtslag, ventrikulär	D018879
Extrahepatisk gallgångsobstruktion	D001651
Extrahepatisk kolestas	D001651
Extrasystole	D005117
Extrasystole, atriell	D018880
Extravasering av diagnostiska och terapeutiska medel	D005119
Extremitetsdeformiteter, medfödda	D017880
Extroversion (Psykologi)	D005120
Fababönor	D031307
Facetled	D021801
Facialisförlamning	D005158
Facialisnerv	D005154
Facialispares	D005158
Facialissjukdomar	D005155
Facialpares, idiopatisk	D020330
Facioskapulohumeral muskeldystrofi	D020391
Fackelblomsväxter	D029561
Fackförbund	D007750
FAD	D005182
Faderns riskexponering	D018812
Faktor II	D011516
Faktor X, aktiverad	D015951
Fakultet, omvårdnad	D005181
Fallskärmshoppning	D001359
Falsk förespegling	D008192
Falskt aneurysm	D017541
Familiär dysautonomi	D004402
Familiär hypokalemisk periodisk paralys	D020514
Familjefokuserad omvårdnad	D022143
Familjehemsvård	D005581
Familjeläkare	D010821
Familjemedicin	D005194
Familjeplanieringsprogram	D005193
Familjerådgivning	D005196
Familjeträd	D010375
Familjär adenomatös polypos	D011125
Familjär amyloidos	D028226
Familjär amyloidos med polyneuropati	D017772
Familjär benign pemfigus	D016506
Familjär cerebral amyloid angiopathy	D016657
Familjär hemofagocyterande lymfohistiocytos	D051359
Familjär hypertrofisk kardiomyopati	D024741
Familjär lipoproteinlipasbrist	D008072
Fanconianemi	D005199
Fantomsensation	D010591
Fantomsmärta	D010591
FAP	D011125
Fareston	D017312
Farlutal	D017258
Farmaceuter	D010595
Farmaceutisk kemi	D002626
Farmaceutisk omsorg	D010593
Farmaceutisk teknik	D013678
Farmaceutiska föreningar	D012957
Farmaceutiska tjänster	D010593
Farmacevter	D010595
Farmorubicin	D015251
Farsot	D010930
Fartyg	D012767
Faryngealcancer	D010610
Faryngealsjukdomar	D010608
Faryngealtumörer	D010610
Faryngit	D010612
Farynx	D010614
Farynxmuskler	D010609
Fascia	D005205
Fascit	D005208
Fasigyn	D014011
Fastighetsförvaltning	D005161
Fastighetsunderhåll	D008283
Fatal familjär insomnia	D034062
Fazio-Londes syndrom	D010244
FDG	D019788
Febernedsättande medel	D018712
Febris flava	D015004
Federala sjukhus	D006768
Feedback	D005246
Feers sjukdom	D000170
Fekalier	D005243
Fekalier, hårda	D005244
Fekalier, sammanpressade	D005244
Fekalinkontinens	D005242
Felbeläget tandframbrott	D014079
Felbeläget tandsprickning	D014079
Felden	D010894
Feldiagnoser	D003951
Felhantering av läkemedel	D008508
Felnäring	D044342
Femidomer	D019111
Femoralartär	D005263
Femoralcancer	D005266
Femoralhernia	D006550
Femoralnerv	D005267
Femoralnervsjukdomar	D020428
Femoraltumörer	D005266
Femoralven	D005268
Femte sjukan	D016731
Femur	D005269
Femurfrakturer	D005264
Femurhals	D005272
Femurhalsfrakturer	D005265
Femurhuvud	D005270
Femurhuvudnekros	D005271
Femuropatellärt smärtsyndrom	D046788
Fenazon	D000983
Fenazon-metosulfat	D008773
Fenestra cochleae	D012405
Fenilin	D010630
Fenofibrat	D011345
Fenolrött	D010637
Fenoximetylpenicillin	D010404
Feres	D001781
Fermentering	D005285
Fernissa	D007764
Fertilisering	D005306
Fertilisering in vitro	D005307
Fertilitet	D005298
Fertilitetsperiod	D046910
Festivaler	D006693
Feta möss	D008820
Fetal anoxi	D005311
Fetal hypoxi	D005311
Fetal makrosomi	D005320
Fetalt blod	D005312
Fetischism (Sexuell)	D005329
Fetoplacental cirkulation	D021041
Fettdiarre	D045602
Fettknöl	D008067
Fettreducerad kost	D018752
Fettsvulst	D008067
Fettsyror, omega-3	D015525
Fettsyror, omega-6	D043371
Fettvävnadscancer	D018205
FEV	D005541
Fevarin	D016666
FFI	D034062
FHL	D015616
Fibervävnadscancer	D018218
Fibrer i kosten	D004043
Fibrinlim	D015718
Fibrinolysbehandling	D015912
Fibrinolyshämmande medel	D000933
Fibrinolysin	D005341
Fibroepitelial cancer	D018225
Fibromatos, buk	D018221
Fibula	D005360
Ficin	D005361
Filantropi	D000533
Filaria bancrofti	D014958
Filaria sanguinis hominis	D014958
Filarios	D005368
Filateli	D010678
Filing	D005371
Filmkonst	D009040
Filosofi, omvårdnad	D010687
Fimos	D010688
Fingerborgsblomma	D004070
Finnålsaspirationsbiopsi	D044963
FISH	D017404
Fishers syndrom	D019846
Fixativ	D005404
Fixeringsmedel	D005404
Fjällvandring	D009051
Fjärde magen	D000018
Fjärde ventrikeln	D031608
FK-506	D016559
FL-1060	D000560
FLA 63	D005406
FLA-870	D020891
Flagellater	D008412
Flagyl	D008795
Flatlus	D020061
Flatulens	D005414
Flavonoider	D005419
Flebit	D010689
Flekainidacetat	D005424
Flenar	D031783
Fleromättade fettsyror	D005231
Flintskallighet	D000505
Flooding	D007171
Fluanxol	D005475
Fluglarvangrepp	D009198
Flugor	D009117
Fluor vaginalis	D019522
Fluorescens-in-situ-hybridisering	D017404
Fluorhydrokortison	D005438
Fluothane	D006221
Flurablastin	D005472
Flygambulanser	D017732
Flygning	D001359
Flyktiga fettsyror	D005232
Flyktstress	D004924
Flytningar från underlivet	D019522
Flyttningar	D012113
Flytvästar	D011481
Fläckfeber	D012282
Fläcktyfus	D012282
Fläderbär	D027923
Flödeslära	D012212
FMN	D005486
fMRI	D008279
FN	D014480
Fodervicker	D033022
Fogartys kateter	D001451
Foglossning	D046548
Fokal dystoni	D020821
Fokaladhesion	D022001
Folacin	D005492
Folat	D005492
Folie a deux	D012753
Folinsyra	D002955
Folkhälsomedicin	D011634
Folkläkekonst	D008519
Folkmedicinsk hälso- och sjukvård	D006303
Folkopinion	D011639
Follikulit	D005499
Follikulär mucinos	D000507
Follikulära dendritiska celler	D020566
Follikulärt adenokarcinom	D018263
Follikulärt lymfom	D008224
Follitropin	D005640
Fonasteni	D014832
Fonation	D010699
Fonder	D005582
Foramen ovale, öppetstående	D006344
Forcerad exspiratorisk volym	D005541
Forcerat exspiratoriskt flöde	D005540
Forestiers syndrom	D004057
Formigenkännande, visuellt	D010364
Formperception	D005556
Formsyror	D005564
Fornix cerebri	D020712
Forskarutbildning	D004500
Forskning inom omvårdnadsmetodik	D015404
Forskning inom omvårdnadsutvärdering	D015403
Forskning inom vårdutbildning	D015402
Forsknings- och utvecklingsarbete	D012106
Forskningsinstitut	D000047
Forskningsmedel	D012109
Forskningsprotokoll	D002985
Forskningsstipendier	D005257
Forskningsstöd	D012109
Fortledd smärta	D053591
Fortplantningsanamnes	D017584
Fortplantningsorgan	D005835
Fortplantningsorgan, kvinnliga	D005836
Fortplantningsorgan, manliga	D005837
Fortum	D002442
Fosamax	D019386
Foscavir	D017245
Fosdrin	D008799
Fosfataser	D010744
Fosfodiesterasinhibitorer	D010726
Fosfonoformat	D017245
Fostererytroblastos	D004899
Fosternöd	D005316
Fostersjukdomar	D005315
Fostervattenavgång, prematur	D005322
Fostrets hjärtfrekvens	D006340
Fostrets undernäring	D048070
Fotdeformiteter	D005530
Fotdeformiteter, förvärvade	D005531
Fotdeformiteter, medfödda	D005532
Fotodynamisk terapi	D010778
Fotofobi	D010787
Fotofobi	D020795
Fotogen	D010232
Fotokemoterapi, hematoporfyrin	D006414
Fotokeratektomi	D048988
Fotoreceptorer i näthinna	D017948
Fotorefraktiv keratektomi	D048988
Fotoretraktiv keratektomi, excimerlaser	D018903
Fotosystem I	D045331
Fotosystem II	D045332
Fototerapi	D010789
Fototoxisk dermatit	D017484
Fotterapi	D011032
FoU	D012106
Fovea centralis	D005584
Fragilitetsfrakturer	D005598
Fragmin	D017985
Fraktionsutfällning	D005590
Frakturer	D005595
Frakturer, stress	D015775
Frakturer, utmattning	D015775
Framtidsprognos	D005544
Frasiers syndrom	D030321
Fraxa-syndrom	D005600
Fraxiparine	D017762
Frenulum linguae	D008035
Freoner	D005466
Freoner	D005617
Freys syndrom	D013547
Fri vilja	D026684
Fria fettsyror	D005230
Frigiditet	D020018
Friläggning av vener	D016748
Friskis och Svettis	D020446
Frisörer	D001461
Fritidshem	D002656
Fritidsintressen	D006686
Frivillig arbetskraft på sjukhus	D006758
Frivilligarbetare	D014838
Frommels sjukdom	D002640
Frontalsinuit	D015522
Frontalsinus	D005626
Frostknölar	D002647
Fruktbarhet	D005298
Fruktfluga	D004331
Fruktos	D005632
Frågeformulär	D011795
Främmande föremål	D005547
Främmandekroppsmigration	D005548
Frätning	D003343
Fröplanta	D036226
FSH	D005640
FSH, humant	D043373
FSH-celler	D052681
Fucidin	D005672
Fucithalmic	D005672
Fumigation	D005651
Fundoplikation enligt Nissen	D018662
Fungi imperfecti	D003904
Fungizone	D000666
Funktionell MRI	D008279
Funktionella mag-tarmsjukdomar	D005767
Funktionshindrade äldre	D016330
Funktionskäkortopedisk apparatur	D017289
Furadantin	D009582
Fusidin	D005672
Fusionsproteiner	D017375
FVIIa	D015942
Fysiatri	D010810
Fysikalisk kemi	D002627
Fysikaliska undersökningar	D010808
Fysiognomik	D010826
Fysiologisk anpassning	D000222
Fysiologisk förkalkning	D002113
Fysiologisk psykologi	D011603
Fysiologisk sexuell dysfunktion	D012735
Fysioterapi	D010813
Fysisk aktivitet	D015444
Fysisk antropologi	D000885
Fysisk terapi	D010810
Fytoestrogener	D048789
Fytofotodermatit	D017454
Fytohormoner	D010937
Fytomenadion	D010837
Fytonadion	D010837
Fågelpest	D005585
Fänkål, vild	D031861
Färdtjänst	D010354
Färg	D010150
Färgperception	D003118
Färgperceptionstester	D003119
Färgtistel	D031187
Färgtistelolja	D012450
Fästingburen encefalit	D004675
Fästingburen hjärninflammation	D004675
Fästingöverförda sjukdomar	D017282
Föda	D004032
Födelse	D003694
Födelsemärke	D009506
Födoämnesallergi	D005512
Födoämnesdeprivation	D005508
Födoämneskontamination	D005506
Födoämneskontamination, radioaktiv	D005507
Följsamhet gentemot rekommendationer	D019983
Förbening, heterotop	D009999
Förebyggande av olycksfall	D000056
Föredrag (Publikationstyp)	D019531
Föreningar	D012952
Förestrade östrogener (USP)	D042724
Föreställningsförmåga	D007092
Företag	D007221
Författande	D014956
Författningar	D007878
Förfrysning	D005627
Förföljelsemani	D010259
Förkortad skadeskala	D015998
Förlorade tänder	D016388
Förlossning, förtidig	D007752
Förlossningsavdelningar	D003696
Förlossningsdepression	D019052
Förlossningsinduktion	D007751
Förlossningskonst	D009774
Förlossningssalar	D003696
Förlossningsvård	D009773
Förmaksöra	D020517
Förmynderskap över barn	D002655
Förnyelsevaccination	D007117
Förorenad utrustning	D004866
Förpackningar	D019064
Förråd	D007445
Förskolor	D002656
Förslitningsskador	D012090
Första halskotan	D001270
Första magen	D012417
Första menstruation	D008572
Förstföderskor	D010298
Förstudier	D010865
Förståelse	D032882
Förstånd	D032882
Förståndshandikapp	D008607
Försvarssjukvård	D008887
Förtroendemän	D014341
Förträngning	D003250
Förutsägelse	D005544
Förvirrat uppvaknande	D020921
Föräldraförsäkring	D016524
Förändrad kroppsfettfördelning	D008060
G-,GM-,M-CSF	D016178
GABA	D005680
GABA-agonister	D018755
GABA-antagonister	D018756
Gadopentetatdimeglumin	D019786
Gadopentetsyra	D019786
Gallblåsecancer	D005706
Galldrivande medel	D002756
Gallfistel	D001658
Gallfärgämnen	D001654
Gallgångscancer	D001650
Gallgångshinder utanför levern	D001651
Gallgångsobstruktion, extrahepatisk	D001651
Gallkirurgi	D001662
Gallvägscancer	D001661
Gallvägskirurgi	D001662
Galvanisk hudrespons	D005712
Gametogenes	D005718
Gammagard	D016756
Gamma-GT	D005723
gamma-kemokiner	D019744
Gammaknivkirurgi	D016634
Gammonativ	D016756
Ganglier, basala	D001479
Ganglion cervicothoracicum	D013233
Ganglion spirale	D013136
Ganglion trigeminale	D012668
Gangrän	D005734
Garamycin	D005839
Gardona	D013749
Garvsyror	D013634
Gasbesvär	D005414
Gasmasker	D012134
Gasolin	D005742
Gasrenhållare	D015920
Gasserian ganglion	D012668
Gastrisk bypass	D015390
Gastriska parietalceller	D010295
Gastriska zymogenceller	D019872
Gastriskt divertikel	D013273
Gastrit	D005756
Gastroenterit	D005759
Gastrointestinal blödning	D006471
Gastrointestinal transit	D005772
Gastrointestinal tuberkulos	D014385
Gastrointestinala hormoner	D005768
Gastrointestinala medel	D005765
Gastrointestinala sjukdomar	D005767
Gastrointestinala stromatumörer	D046152
Gastrointestinala tumörer	D005770
Gastrointestinalcancer	D005770
Gastrointestinalkanal	D005771
Gastropares	D018589
Gastrospirillum	D016998
Gastrospirillum hominis	D018247
Gastrula	D005775
Gatrografin	D003974
Gatubarn	D018453
Gaussfördelning	D016011
GB-virus-A	D019399
GB-virus-B	D019399
GB-virus-C	D019399
G-celler	D019863
GCS	D015600
G-CSF	D016179
Gd-DTPA	D019786
Gelatinas A	D020778
Gelatinas B	D020780
Genbanker	D030561
Genchips	D020411
Gendeletion	D017353
Gendermatoser	D012873
Genealogi och heraldik	D005789
Gener, abl	D016313
Gener, APC	D017491
Gener, araC	D005797
Gener, bakteriella	D005798
Gener, bcl-1	D019940
Gener, bcl-2	D019254
Gener, BRCA1	D019398
Gener, BRCA2	D024522
Gener, DCC	D016163
Gener, dominanta	D005799
Gener, duplikat	D020131
Gener, env	D015752
Gener, erbA	D018776
Gener, erbB	D018815
Gener, erbB-1	D018773
Gener, erbB2	D018734
Gener, fms	D016236
Gener, fos	D016762
Gener, gag	D015750
Gener, immunoglobulin	D005803
Gener, insekt	D017344
Gener, mask	D017238
Gener, MCC	D017431
Gener, MDR	D019450
Gener, MHC klass II	D005802
Gener, mos	D016258
Gener, myb	D020570
Gener, myc	D016259
Gener, nef	D015754
Gener, neurofibromatos 1	D016514
Gener, neurofibromatos 2	D016515
Gener, p16	D019942
Gener, p53	D016158
Gener, pol	D015751
Gener, protozo	D017125
Gener, px	D016355
Gener, RAG-1	D016654
Gener, ras	D011905
Gener, recessiva	D005808
Gener, rel	D020573
Gener, retinoblastom	D016161
Gener, rev	D015757
Gener, rRNA	D020459
Gener, sis	D020571
Gener, src	D016391
Gener, strukturella, cancer	D016005
Gener, strukturella, protozo	D017340
Gener, strukturella, tumör	D016005
Gener, strukturella, virala	D016007
Gener, strukturella, växt	D016006
Gener, suppressor	D016153
Gener, suppressor, tumör	D016147
Gener, svamp	D005800
Gener, tat	D015756
Gener, vif	D016341
Gener, Wilms tumör	D016162
Gener, virala	D005814
Gener, vpr	D016334
Gener, vpu	D016338
Gener, växt	D017343
Generationsklyfta	D016901
Gener-cdc	D018816
Generika	D016568
Gener-jun	D016758
Genes, MHC klass I	D005805
Genetik, beteende	D005824
Genetik, population	D005828
Genetisk anpassning	D012641
Genetisk diversitet	D014644
Genetisk epidemiologi	D017720
Genetisk epigenes	D044127
Genetisk information, personlig	D030661
Genetisk koppling	D008040
Genetisk könsbestämning	D019849
Genetisk manipulation	D005818
Genetisk polymorfism	D011110
Genetisk predisposition	D020022
Genetisk rekombination	D011995
Genetisk suppression	D013489
Genetisk transduktion	D014161
Genetisk translokation	D014178
Genetisk vägledning	D005817
Genetiska databaser	D030541
Genetiska kluster	D005810
Genetiska modeller	D008957
Genetiska sjukdomar	D030342
Genetiskt flöde	D051456
Genetiskt förändrade organismer	D030781
Genetiskt förändrade växter	D030821
Genetiskt urval	D012641
Genexpression	D015870
Genfusion	D019677
Genital cancer hos kvinnor	D005833
Genital cancer hos män	D005834
Genital tuberkulos hos kvinnan	D014384
Genital tuberkulos hos mannen	D014389
Genitala sjukdomar hos kvinnor	D005831
Genitala sjukdomar hos män	D005832
Genitala tumörer hos kvinnor	D005833
Genitala vårtor	D003218
Genmanipulerade djur	D030801
Genmanipulerade möss	D008822
Genmarkörer	D005819
Genmat	D030841
Genmodifierad mat	D030841
Gennätverk	D053263
Genom	D016678
Genotropin	D019382
Genprofil	D005838
Genteknik	D005821
Gentester	D005820
Gentransfertekniker	D018014
Geografiska namn	D005842
Geparder	D002612
GERD	D005764
Geref	D017337
Geriatrisk bedömning	D015577
Geriatrisk omvårdnad	D005851
Geriatrisk psykiatri	D005852
Geriatrisk tandvård	D005850
Germander	D031367
Germinalceller	D005854
Germinalcells- och embryonala cancer	D009373
Germinalcells- och embryonala tumörer	D009373
Germinalcenter	D018858
Gerontologi	D005853
Gestagena hormoner	D011372
Gestagener	D011372
Gestagener, syntetiska	D011373
Gestaltteori	D005863
Gestapuran	D017258
Gestationsdiabetes	D016640
Gestationsålder	D005865
Getto	D011204
GFAP	D005904
GFR	D005919
GH	D013006
GH-överkänslighet	D046150
Gifta	D018454
Gifter	D014688
Giftiga djur	D000832
Giftiga växter	D010947
Gigantism	D005877
Gingivalvätska	D005883
Gingivit	D005891
Gingivoplastik	D005893
Ginseng	D005894
GIP	D005749
Gipsförband	D002370
GIS	D040362
Gissel	D005407
GIST	D046152
GLA	D017965
Glandula bulbourethralis	D002030
Glandula parotis	D010306
Glatt endoplasmatisk retikel	D018871
Glatt muskulatur, vaskulär	D009131
Glaukom	D005901
Glaukom, trångvinkel	D015812
Glaukom, öppenvinkel	D005902
GLD	D007965
Glia	D009457
Glibenclamid	D005905
Glitazoner	D045162
Globoidcellsleukodystrofi	D007965
Glomangiom	D005918
Glomerulusfiltration	D005919
Glomus caroticum	D002344
Glomustumör	D005918
Glossalgi	D005926
Glossit	D005928
Glossopyrosis	D002054
Glucagonprekursorer	D052336
Glucobay	D020909
Glucophage	D008687
Glukarsyra	D005937
Glukocerebrosidas	D005962
Glukos-6-fosfatasbrist	D005953
Glukosfosfatasbrist	D005953
Glukostoleranstest	D005951
Glutaraldehyd	D005976
Glutenenteropati	D002446
Glutenöverkänslighet	D002446
Glycerin	D005990
Glyceroltrinitrat	D005996
Glyceryltrinitrat	D005996
Glycyrrhiza	D006035
Glykogenos	D006008
Glykogenos 1	D005953
Glykogenos 2	D006009
Glykogenos 3	D006010
Glykogenos 4	D006011
Glykogenos 5	D006012
Glykogenos 6	D006013
Glykogenos 7	D006014
Glykogenos 8	D006015
Glykohydrolaser	D006026
Glykosidaser	D006026
Glykosuri	D006029
Glykosylceramidglykosylhydrolas	D010694
Glykosylerat hemoglobin A	D006442
Glypikan	D053673
GM-CSF	D016178
GMO-djur	D030801
GMO-mat	D030841
GMO-organismer	D030781
GMO-växter	D030821
Gnidning	D017276
Gnotobiotik	D005856
GnRH	D007987
God klinisk praksis, mätning	D019985
Godkännande av läkemedel	D017277
Godkännande av utrustning	D018795
Golgikomplex	D006056
Gomcancer	D010157
Gomplattor	D009968
Gomproteser	D010158
Gonader	D006066
Gonadorelin	D007987
Gonadotropiner, korion	D006063
Gonadvävnadscancer	D018309
Gonal-F	D043373
Goniometri	D053587
Goniotomi	D014130
Goodpastures syndrom	D019867
Gorlins syndrom	D001478
G-proteiner	D019204
GPS	D040362
Graafs follikel	D006080
Graefes sjukdom	D017246
Gran	D028222
Grana	D020524
Granatäpple	D031826
Grand mal-epilepsi	D004830
Granulocytopeni	D000380
Granulom	D006099
Granulom, främmande kropp	D015745
Granulom, jättecell	D006101
Granulom, plasmacell	D006104
Graves' sjukdom	D006111
Graviditet, abdominell	D011269
Graviditet, ektopisk	D011271
Graviditet, extrauterin	D011271
Graviditet, högrisk	D018566
Graviditet, tubar	D011274
Graviditetsillamående	D006939
Graviditetskomplikationer, cancer	D011252
Graviditetskomplikationer, hematologiska	D011250
Graviditetskomplikationer, kardiovaskulära	D011249
Graviditetstoxikos	D011225
Graviditetstoxikoser	D011260
Gravitationsperception	D018466
Gravskändning	D019356
Grenade aminosyror	D000597
Grenade oligosaccharider	D025942
Grisar	D034421
Groddbildning	D018525
Groddblåsa	D036703
Groddplanta	D036226
GRP	D019886
Gruppbeteende	D006126
Gruppinköp	D017754
Gruppterapi	D011615
Gräl	D034462
Grävlingar	D045969
GS 4071	D053139
Guajakolglyceryleter	D006140
Guar	D031293
Guava	D031647
Gul näckros	D031654
Gul stafylokock	D013211
Guldsalter, antireumatiska	D016043
Gullregn	D031296
Gullris	D036624
Gummi arabicum	D006170
Gummiallergi	D020315
Gummiträd	D028482
Guppy	D011036
Gurkor	D019662
Gustatorisk svettning	D013547
Gyckelblommor	D032241
Gyllen	D031216
Gyllenbär	D032321
Gymnospermer	D019681
Gymping	D015444
Gynandroblastom	D018309
Gynekologisk cancer	D005833
Gynekologiska avdelningar	D009775
Gynekologiska sjukdomar	D005831
Gyttjebad	D009094
Gångapraxi	D020235
Gångataxi	D020234
Gångstolar	D014853
Gångsvårigheter	D020235
Gåshud	D010863
Gödningsmedel	D005308
Gök	D003050
H1N1-virus	D053118
H2N2-virus	D053121
H3N2-virus	D053122
H3N8-virus	D053123
H5N1-virus	D053124
H5N2-virus	D053125
H7N7-virus	D053126
H9N2-virus	D053127
HAART	D023241
Habilitering	D012046
Habituering, psykofysiologisk	D006185
Habu-orm	D017841
Haemaccel	D011097
Hagtorn	D027825
Hailey-Haileys sjukdom	D016506
Hakmasksjukan	D000724
Halcion	D014229
Haldol	D006220
Halitos	D006209
Hallucinos	D006212
Hallux	D006214
Halobacterium halobium	D019617
Halomonas elongata	D020632
Hals	D009333
Halsartärförkalkning	D016893
Halsbräss	D013950
Halsfläta	D002572
Halshuggning	D049248
Halskraggar	D001915
Halsmuskler	D009334
Halsont	D010612
Halsryggrad	D002574
Halvsidig ansiktsförtvining	D005150
Halvsidig ansiktsspasm	D019569
